wbcode,wbname,aosnew1,aosnew2,aosnew3,aosnew4,aosnew5,aosnew6,aosnew7,aosnew8,aosnew9,aosnew10,aosnew11,aosnew12,aosnew13,aosnew14,aosnew15,aosnew16,aosnew17,aosnew18,aosnew19,aosnew20,aosnew21,aosnew22,aosnew23,aosnew24,aosnew25,aosnew26,aosnew27,aosnew28,aosnew29,aosnew30,aosnew31,aosnew32,aosnew33,aosnew34,aosnew35,aosnew36,aosnew37,aosnew38,aosnew39,statehist00v3,statehist001v3,statehist01v3,statehist05v3,statehist10v3,statehist50v3,statehistn00v3,statehistn001v3,statehistn01v3,statehistn05v3,statehistn10v3,statehistn50v3
MMR,Myanmar,25,27.188,28.125,28.125,50,50,50,37.5,44.25,50,50,50,37.5,37.5,50,50,50,50,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,1552.688,1523.942,1295.896,711.6436,418.2915,92.44639,0.7962502,0.7964415,0.7978509,0.7965612,0.7794747,0.6163093
NPL,Nepal,50,50,50,45.25,37.5,37.5,37.5,37.5,37.5,37.5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,1470.25,1447.746,1265.462,759.7122,476.8748,141.835,0.7539744,0.7566198,0.7791136,0.8503657,0.8886431,0.9455666
NLD,Netherlands,50,50,50,50,50,50,50,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,37.5,37.5,50,50,50,50,50,50,50,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,1346.875,1323.9,1141.122,668.8874,430.2279,146.1648,0.6907051,0.6918954,0.7025607,0.7487031,0.8017178,0.974432
NZL,New Zealand,37.5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,62.47503,62.25248,61.30952,60.22727,54.16667,0.0320513,0.0326506,0.0383273,0.0686254,0.1122319,0.3611112
NIC,Nicaragua,50,28.125,28.125,25,25,25,25,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.25,243.4392,236.3676,209.2689,183.1986,101.0531,0.1252564,0.127226,0.1455257,0.2342402,0.3413856,0.6736873
NER,Niger,30.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480.5,477.5886,452.5654,362.8719,286.0134,104.922,0.2464103,0.249597,0.2786333,0.4061721,0.5329781,0.6994798
NGA,Nigeria,25,28.125,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803.125,794.3911,721.6415,494.2116,338.8271,93.72017,0.411859,0.4151641,0.4442967,0.553184,0.631395,0.6248012
NOR,Norway,50,37.5,37.5,25,25,25,25,25,25,25,25,50,50,50,45.75,37.5,45,50,50,50,50,28.125,28.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859.5,849.5372,766.8137,512.5698,345.8141,114.6846,0.4407692,0.4439844,0.4721081,0.5737327,0.6444151,0.7645639
PAK,Pakistan,25,25,50,50,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,50,50,50,50,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,28.125,50,50,50,50,50,1565.625,1535.432,1297.053,699.1069,410.4034,100.9947,0.8028846,0.8024462,0.7985633,0.7825286,0.7647755,0.6732978
PAN,Panama,50,37.5,32.25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.75,268.826,260.7753,230.0611,200.7285,109.6046,0.1383333,0.1404936,0.1605529,0.2575133,0.3740521,0.7306976
PNG,Papua New Guinea,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,18.75,18.75,18.75,18.75,18.75,0.0096154,0.0097991,0.0115439,0.0209874,0.0349401,0.125
PRY,Paraguay,50,50,50,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,274.2272,267.4648,241.1446,215.0989,124.8514,0.1410256,0.1433164,0.1646714,0.2699195,0.4008309,0.8323427
PER,Peru,50,50,39.5,25,25,25,25,25,41,50,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,50,50,25,25,0,0,0,0,0,0,0,0,0,0,0,0,993,980.1635,874.7358,564.8665,374.7875,125.0351,0.5092308,0.5122523,0.5385531,0.6322698,0.6984062,0.8335673
PHL,Philippines,37.5,25,25,25,25,25,25,28.125,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253.125,252.1067,243.2502,209.7617,178.3081,86.2197,0.1298077,0.1317558,0.1497631,0.2347917,0.3322723,0.5747981
POL,Poland,34.5,18.75,21.75,35.625,37.25,50,50,50,50,50,50,50,40,37.5,37.5,37.5,47,50,50,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,834.375,826.0551,756.1435,529.4311,365.6116,94.06512,0.4278846,0.4317123,0.4655388,0.5926061,0.6813071,0.6271009
PRT,Portugal,50,50,50,50,50,50,25,40,50,50,50,50,50,50,28.125,28.125,28.125,28.125,28.125,28.125,28.125,25,25,25,25,50,50,50,37.5,37.5,50,25,25,25,25,25,25,25,25,1436.875,1412.817,1221.337,723.4836,465.4631,146.9957,0.736859,0.7383654,0.7519469,0.8098142,0.8673777,0.9799715
ROM,Romania,38.125,28.125,22.688,18.75,26.813,28.125,28.125,28.125,28.125,28.125,28.125,28.125,26.25,25,25,25,25,25,25,25,25,25,25,2,0,0,0,0,0,0,0,0,0,12.5,25,25,25,50,50,797.126,783.9671,679.8481,412.5534,271.9214,88.85259,0.4087825,0.4097163,0.4185656,0.4617819,0.506718,0.5923507
RUS,Russia,50,50,50,50,50,50,50,35,25,16.75,11.25,11.25,11.25,11.25,8.25,7.5,7.5,7.5,7.5,7.5,7.5,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530.7,527.5322,500.5743,407.5309,331.1579,145.2264,0.2721539,0.2756985,0.3081912,0.45616,0.6171037,0.9681762
RWA,Rwanda,25,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,373.6042,361.4097,314.3187,268.4209,119.1472,0.1923077,0.1952527,0.222511,0.3518251,0.500195,0.794315
STP,Sao Tome and Principe,25,25,25,25,25,25,25,25,25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,234.0134,225.4353,193.0264,162.6141,73.3092,0.1205128,0.1222999,0.1387949,0.2160595,0.303027,0.4887281
SAU,Saudi Arabia,43.25,30.25,34.75,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,40.25,50,37.5,37.5,28.125,28.125,28.125,28.125,21.098,21.098,21.098,21.098,7.5,7.5,,,,,,,,,,,,
