wbcode,wbname,aosnew1,aosnew2,aosnew3,aosnew4,aosnew5,aosnew6,aosnew7,aosnew8,aosnew9,aosnew10,aosnew11,aosnew12,aosnew13,aosnew14,aosnew15,aosnew16,aosnew17,aosnew18,aosnew19,aosnew20,aosnew21,aosnew22,aosnew23,aosnew24,aosnew25,aosnew26,aosnew27,aosnew28,aosnew29,aosnew30,aosnew31,aosnew32,aosnew33,aosnew34,aosnew35,aosnew36,aosnew37,aosnew38,aosnew39,statehist00v3,statehist001v3,statehist01v3,statehist05v3,statehist10v3,statehist50v3,statehistn00v3,statehistn001v3,statehistn01v3,statehistn05v3,statehistn10v3,statehistn50v3
AFG,Afghanistan,50,28.125,28.125,28.125,28.125,25,25,25,25,50,50,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,37.5,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,37.5,37.5,37.5,37.5,1196.875,1174.43,997.2057,552.3561,336.9908,106.2089,0.613782,0.6137795,0.6139548,0.6182666,0.627973,0.7080595
ALB,Albania,41.5,25,26.938,27.688,25,25,25,25,28,50,28.5,27.375,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,25,25,25,25,25,25,25,25,1089.376,1069.543,912.3018,511.0415,311.7833,94.08551,0.5586544,0.5589635,0.5616816,0.5720221,0.5809996,0.6272368
DZA,Algeria,25,25,37.5,37.5,37.5,27.195,25,25,25,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,25,0,0,0,0,0,25,25,25,25,25,25,25,25,25,1077.195,1059.146,915.0952,535.093,332.671,87.98809,0.5524077,0.5535303,0.5634014,0.5989436,0.6199232,0.5865873
AGO,Angola,25,25,25,25,25,28.125,28.125,28.125,37.5,37.5,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359.375,357.2036,338.5156,271.1622,213.0175,76.46488,0.1842949,0.1866815,0.2084156,0.303519,0.3969523,0.5097659
ARG,Argentina,50,50,37.5,18.75,18.75,18.75,18.75,12.5,18.375,9.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.75,251.9712,245.1862,219.3016,194.5286,115.0669,0.1296154,0.131685,0.1509551,0.24547,0.3624986,0.7671128
ARM,Armenia,24,18.75,18.75,18.75,18.75,18.75,21.25,25,25,25,25,25,25,25,25,25,25,25,36.25,37.5,39.5,50,50,50,50,48.5,39,50,50,28.75,24,20.625,18.75,18.75,18.75,18.75,18.75,18.75,18.75,1119.375,1097.529,923.9598,480.0336,264.8593,62.84854,0.5740384,0.5735899,0.5688591,0.5373142,0.4935579,0.4189903
AUS,Australia,50,50,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.5,137.3752,136.2661,131.6327,126.4463,100,0.0705128,0.0717949,0.0838956,0.1473399,0.2356292,0.6666667
AUT,Austria,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,28.125,28.125,28.125,28.125,28.125,28.125,37.5,37.5,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,25,25,25,25,25,25,25,25,1418.75,1396.348,1217.361,742.8389,486.3402,149.8532,0.7275641,0.7297585,0.7494987,0.831479,0.9062816,0.9990216
AZE,Azerbaijan,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,776,765.0828,675.8418,418.9496,267.0178,76.01494,0.3979487,0.399847,0.416099,0.4689413,0.4975803,0.5067663
BGD,Bangladesh,37.5,25,25,25,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,741.9265,674.6795,464.4068,320.5784,94.81731,0.3846154,0.387745,0.4153834,0.5198227,0.597389,0.6321155
BRB,Barbados,25,25,25,25,25,25,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.5,161.0571,157.1693,141.8184,126.2611,69.42524,0.0828205,0.0841715,0.0967652,0.158741,0.2352841,0.462835
BLR,Belarus,22.75,25,25,22.125,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619.875,612.4848,551.3406,365.8236,245.602,71.89648,0.3178846,0.3200963,0.3394467,0.4094759,0.4576725,0.4793099
BEL,Belgium,50,50,42.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,0,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,1305,1283.748,1113.688,662.2697,422.5887,135.5552,0.6692308,0.6709116,0.6856698,0.7412958,0.7874823,0.9037012
BEN,Benin,25,37.5,28.875,18.75,30,37.5,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.375,195.805,190.806,171.1566,151.4005,80.89918,0.1007051,0.1023315,0.1174745,0.19158,0.2821307,0.5393279
BOL,Bolivia,50,50,37.5,25,25,25,25,25,25,25,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,50,50,50,50,50,50,50,50,50,15,15,15,15,15,15,15,15,15,15,15,15,1242.5,1221.771,1055.505,611.5237,377.4235,122.896,0.6371795,0.6385213,0.6498481,0.6844944,0.7033183,0.8193071
BIH,Bosnia and Herzegovina,26.25,25,25,25,25,25,25,25,25,31.5,50,50,50,50,50,35,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,20.5,1113.25,1093.44,935.7822,526.0132,314.7881,77.57124,0.5708975,0.5714528,0.5761378,0.5887803,0.586599,0.5171417
BWA,Botswana,25,33.75,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.75,430.3616,401.6102,304.2776,228.5473,80.75721,0.2224359,0.2249152,0.2472614,0.3405858,0.4258915,0.5383815
BRA,Brazil,50,50,43.75,25,25,25,25,25,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.5,274.6859,267.5714,240.0443,213.0825,122.337,0.1412821,0.1435561,0.1647371,0.2686879,0.3970734,0.81558
BGR,Bulgaria,45,37.5,37.5,37.5,37.5,37.5,37.5,25,25,25,25,48,50,50,50,32.5,25,25,34,50,50,50,50,50,50,42.25,11.25,0,0,0,0,0,0,0,0,0,0,0,0,1038,1024.291,911.7885,582.3797,381.7523,118.531,0.5323077,0.5353142,0.5613655,0.6518728,0.7113849,0.7902066
BFA,Burkina Faso,25,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362.5,360.8187,346.2256,291.5433,240.9634,98.04908,0.1858974,0.1885708,0.2131625,0.326332,0.4490286,0.6536606
BDI,Burundi,25,37.5,37.5,37.5,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.5,211.9388,207.0037,187.3554,167.1545,90.12346,0.1089744,0.1107633,0.127447,0.2097118,0.3114878,0.6008231
KHM,Cambodia,25,33.5,37.5,37.5,37.5,37.5,37.5,47.5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,49.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,1643,1612.736,1372.292,752.8802,440.1972,99.37838,0.8425641,0.8428468,0.8448862,0.8427185,0.8202954,0.6625226
CMR,Cameroon,25,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,560.3289,520.9591,391.0563,292.9832,99.21362,0.2897436,0.2928386,0.3207416,0.4377196,0.5459661,0.6614242
CAN,Canada,50,50,37.5,18.75,12.5,12.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.75,188.412,185.4355,173.5041,161.0662,110.3292,0.0967949,0.0984677,0.114168,0.1942077,0.3001424,0.7355282
CPV,Cape Verde,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,248.8791,239.1504,202.6955,168.9756,73.69939,0.1282051,0.130069,0.147239,0.2268824,0.3148814,0.4913293
CAF,Central African Republic,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,0.0128205,0.0130655,0.0153919,0.0279832,0.0465868,0.1666667
TCD,Chad,25,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,336.5614,307.8547,217.3173,154.7304,54.99398,0.174359,0.1758935,0.1895385,0.2432489,0.2883359,0.3666266
CHL,Chile,50,50,41,25,25,25,25,25,25,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.5,302.4341,293.1584,257.9599,224.6248,122.152,0.155641,0.1580579,0.1804904,0.2887413,0.4185821,0.8143468
CHN,China,43.75,50,50,50,50,50,50,50,50,50,50,45.5,37.5,44.75,50,50,50,50,50,37.5,37.5,50,50,37.5,50,50,50,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,50,50,50,50,1784,1751.474,1493.866,838.32,512.4084,143.5635,0.9148718,0.915354,0.9197363,0.9383535,0.954859,0.95709
COL,Colombia,50,50,40.5,25,25,25,25,25,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.25,283.3468,275.4672,245.2186,215.9947,121.3608,0.1457692,0.1480825,0.1695983,0.2744795,0.4025001,0.8090719
COG,"Congo, Rep.",25,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.5,286.1551,274.4912,230.9507,190.9485,80.03067,0.1474359,0.1495501,0.1689974,0.2585092,0.3558272,0.5335379
CRI,Costa Rica,50,50,39.5,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.5,263.7482,257.1716,231.6208,206.4212,120.1847,0.135641,0.1378399,0.1583342,0.2592592,0.3846602,0.8012316
CIV,Cote d'Ivoire,25,37.5,37.5,37.5,37.5,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,323.5057,310.5572,262.3678,218.2375,94.19465,0.1666667,0.1690703,0.1912023,0.2936751,0.4066795,0.6279644
HRV,Croatia,30.75,37.5,37.5,37.5,37.5,25,25,25,31.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,38,50,50,50,40,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,25,20.5,1023.25,1006.915,876.5388,531.3217,343.7551,102.0471,0.5247436,0.5262331,0.5396631,0.5947222,0.6405781,0.6803142
CUB,Cuba,41.5,25.25,25,25,25,25,25,25,17.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.5,233.6605,226.3442,198.4113,171.7182,89.43286,0.1202564,0.1221155,0.1393545,0.222087,0.3199922,0.5962191
CYP,Cyprus,25,25,25,25,25,25,25,25,25,25,37.5,50,50,50,50,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1087.5,1067.854,911.7426,508.7939,303.6886,75.91256,0.5576923,0.5580809,0.5613373,0.5695063,0.5659153,0.5060838
CZE,Czech Republic,38,25,25,25,25,25,25,25,38,50,50,50,50,50,50,50,50,50,50,50,50,50,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933,921.6355,827.2712,537.2154,347.0572,90.44239,0.4784615,0.4816644,0.5093303,0.6013193,0.6467316,0.6029493
ZAR,Demcratic Rep. of Congo,25,33.75,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.75,357.0724,342.5128,287.9719,237.5543,95.54908,0.1839744,0.1866129,0.2108766,0.3223345,0.4426759,0.6369939
DNK,Denmark,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,37.5,45.25,50,50,50,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107.75,1095.859,996.9171,688.9103,479.7155,149.9387,0.5680769,0.572717,0.6137771,0.7711154,0.8939365,0.9995915
DOM,Dominican Republic,50,50,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,274.078,266.0444,235.3898,206.1004,114.7157,0.1410256,0.1432384,0.1637969,0.263478,0.3840625,0.7647717
ECU,Ecuador,50,50,39,25,25,25,25,25,25,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,362.3413,348.0046,295.2828,248.0322,122.5637,0.1866667,0.1893665,0.2142578,0.3305178,0.4622012,0.8170916
EGY,"Egypt, Arab Rep.",39,33,37.5,25,25,25,25,25,33.5,50,50,50,50,50,37.5,42.75,50,50,50,38.5,25,50,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1286.75,1264.528,1087.146,620.582,376.1054,102.0894,0.6598718,0.6608664,0.669329,0.6946336,0.7008621,0.6805958
SLV,El Salvador,50,50,38,25,25,25,25,25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,273.1635,265.8595,237.7055,210.3131,119.9473,0.1405128,0.1427605,0.1636831,0.2660699,0.3919127,0.7996485
EST,Estonia,34.5,25,25,25,25,25,21.375,19.75,25,25,25,25,19.25,18.75,4.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343.5,341.3761,323.1784,258.8491,204.9848,83.55784,0.1761539,0.1784097,0.1989729,0.2897366,0.3819835,0.5570523
ETH,Ethiopia,50,50,37.5,37.5,37.5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1912.5,1876.051,1587.835,860.975,508.3729,138.2716,0.9807692,0.9804605,0.9775904,0.9637119,0.9473389,0.9218107
FJI,Fiji,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,37.98701,37.87129,37.38095,36.81818,33.66667,0.0194872,0.0198527,0.0233164,0.0418415,0.0686097,0.2244445
FIN,Finland,45.75,37.5,37.5,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395.75,393.4489,373.7234,303.8319,245.0281,109.382,0.2029487,0.205624,0.2300922,0.340087,0.4566031,0.7292133
FRA,France,50,50,50,50,50,50,50,37.5,50,50,28.125,28.125,50,50,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,50,44.75,37.5,37.5,37.5,37.5,37.5,37.5,25,25,25,25,25,25,25,25,25,1488.5,1463.813,1266.851,749.9112,479.0583,148.5098,0.7633333,0.7650169,0.7799686,0.8393952,0.8927119,0.9900655
GAB,Gabon,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,49.97503,49.75248,48.80952,47.72727,41.66667,0.025641,0.0261179,0.0306314,0.0546338,0.0889385,0.2777778
GMB,"Gambia, The",25,25,25,25,37.5,37.5,37.5,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.5,286.2294,275.1756,233.3299,193.9741,79.48103,0.1474359,0.149589,0.1694188,0.2611722,0.3614653,0.5298735
GEO,Georgia,26.5,25,25,36.25,25.375,25,25,21.5,20.625,28.125,28.125,28.125,28.125,28.125,36.875,50,50,50,50,34.375,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,22.5,25,25,25,25,25,25,1039.625,1021.186,874.5078,493.9677,298.6606,79.92034,0.533141,0.5336916,0.5384127,0.5529109,0.5565458,0.5328023
DEU,Germany,50,44.75,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,50,42.5,50,45,50,50,50,50,50,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,1382.25,1359.791,1179.33,693.3934,431.9895,129.936,0.7088462,0.7106528,0.7260843,0.7761334,0.8050006,0.8662399
GHA,Ghana,25,28.125,28.125,28.125,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484.375,481.0356,452.4435,351.7285,268.0616,86.42019,0.2483974,0.2513985,0.2785582,0.393699,0.4995254,0.5761346
GRC,Greece,50,50,34,25,25,25,25,25,25,25,28.125,28.125,28.125,28.125,28.125,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,1049.625,1031.115,884.5595,512.3914,328.5055,120.8078,0.5382692,0.5388806,0.5446013,0.5735331,0.612161,0.8053856
GRD,Grenada,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,149.6259,146.3358,133.2369,119.7697,68.41563,0.0769231,0.0781974,0.0900953,0.1491356,0.2231875,0.4561043
GTM,Guatemala,50,50,38.5,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1163.5,1136.613,928.1469,450.9979,266.5491,119.7703,0.5966667,0.5940156,0.5714369,0.5048137,0.496707,0.7984689
GIN,Guinea,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,298.3571,284.1907,232.6604,187.3765,74.42195,0.1538462,0.1559272,0.1749692,0.2604228,0.349171,0.4961464
GUY,Guyana,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,174.4764,169.8869,151.8923,133.8815,70.61043,0.0897436,0.0911847,0.1045952,0.170017,0.2494845,0.4707362
HTI,Haiti,50,50,50,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,299.0281,290.5518,258.0656,226.7616,125.8269,0.1538462,0.1562778,0.1788855,0.2888595,0.422564,0.8388458
HND,Honduras,50,50,31,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,526,517.4239,450.4258,289.9963,217.6827,116.416,0.2697436,0.2704157,0.277316,0.3246004,0.4056458,0.7761065
HKG,"Hong Kong, China",25,25,50,50,50,50,50,50,50,50,50,45.5,37.5,44.75,50,50,50,50,50,37.5,37.5,50,50,37.5,50,50,50,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,50,50,50,50,1740.25,1707.749,1450.364,795.7605,470.9312,108.1468,0.8924359,0.8925024,0.8929529,0.8907155,0.8775674,0.7209789
HUN,Hungary,42.5,33.25,25,25,25,18.875,18.75,18.75,35,50,50,50,50,50,50,50,50,50,50,37.5,37.5,6,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,998.125,982.9643,861.1808,529.124,339.6816,98.58192,0.511859,0.513716,0.5302076,0.5922623,0.6329873,0.6572129
ISL,Iceland,50,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537.5,534.1045,505.0153,402.259,316.3759,124.6146,0.275641,0.2791333,0.3109253,0.450259,0.5895577,0.8307643
IND,India,25,25,25,37.5,37.5,50,50,50,28.125,28.125,28.125,28.125,28.125,28.125,28.125,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,1396.875,1369.985,1157.54,623.7561,366.0909,88.55301,0.7163461,0.7159804,0.7126686,0.6981865,0.6822002,0.5903534
IDN,Indonesia,25,25,28.125,28.125,28.125,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,921.875,909.8931,811.1934,517.3035,332.8306,82.8674,0.4727564,0.4755276,0.4994316,0.5790313,0.6202207,0.5524494
IRN,"Iran, Islamic Rep.",50,50,50,50,50,50,50,50,50,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,50,50,50,50,50,50,50,50,50,50,50,50,50,1578.125,1547.825,1309.857,726.4724,454.7738,148.2947,0.8092949,0.8089231,0.8064464,0.8131595,0.8474585,0.9886312
IRQ,Iraq,33,25,32.75,37.5,25,25,25,25,24,18.75,18.75,18.75,23.125,27,37.5,37,25,24.375,18.75,18.75,31.875,34.125,40.5,50,25.5,25,27.375,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,,,,,,,,,,,,
IRL,Ireland,39,25,25,25,25,25,25,25,25,25,25,25,25,25,25,31.25,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,0,0,0,0,0,0,0,0,982.75,966.8955,838.8593,488.7275,298.9295,89.07098,0.5039744,0.5053182,0.5164648,0.5470455,0.5570469,0.5938066
ISR,Israel,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,28.125,978.125,959.728,814.2577,447.1867,268.3998,74.99999,0.5016026,0.5015723,0.5013182,0.5005478,0.5001557,0.5
ITA,Italy,50,50,28.125,28.125,28.125,28.125,28.125,28.125,28.125,37.5,37.5,37.5,37.5,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,50,50,50,50,50,50,50,50,50,50,50,1418.75,1389.965,1164.307,616.412,368.3181,121.4212,0.7275641,0.7264225,0.7168349,0.6899661,0.6863506,0.8094745
JAM,Jamaica,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,224.103,216.2919,186.5803,158.3732,73.04908,0.1153846,0.1171205,0.1331656,0.2088442,0.295124,0.4869939
JPN,Japan,50,50,50,50,50,50,50,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,0,0,1600,1573.318,1359.382,789.8406,490.8288,147.8907,0.8205128,0.8222463,0.8369376,0.8840892,0.9146459,0.9859381
JOR,Jordan,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,37.5,37.5,1000,980.7998,829.3311,450.7103,269.0181,74.99999,0.5128205,0.5125849,0.5105985,0.5044919,0.5013077,0.5
KAZ,Kazakhstan,25,25,28,31.625,50,42.5,37.5,47.5,42.25,28,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482.375,479.1553,451.5736,354.1166,272.487,88.53319,0.2473718,0.2504158,0.2780226,0.396372,0.507772,0.5902213
KEN,Kenya,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,0.0128205,0.0130655,0.0153919,0.0279832,0.0465868,0.1666667
KOR,"Korea, Rep.",25,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,41,37.5,37.5,50,50,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,1716,1685.571,1443.656,817.8771,497.7212,124.9916,0.88,0.8809119,0.8888232,0.9154712,0.9274898,0.8332775
KGZ,Kyrgyzstan,23,19.375,25,25,25,25,25,25,25,25,25,25,25,25,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363.875,361.3182,339.4784,263.3412,201.1319,69.06673,0.1866026,0.1888318,0.2090084,0.2947646,0.3748037,0.460445
LAO,Laos,26.25,28.125,28.125,28.5,34.625,47,50,50,50,50,50,49.25,37.5,37.5,37.5,37.5,37.5,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,1029.375,1015.576,902.7397,575.1783,374.1624,91.80595,0.5278846,0.5307596,0.5557944,0.6438122,0.6972412,0.6120397
LBY,Libya,25,25,25,25,25,25,25,25,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,27,25,25,25,25,25,25,25,25,25,25,25,25,1202,1179.969193,1003.094399,532.8641473,291.7554697,50.09765591,0.616410256410256,0.616686226391384,0.618676693614779,0.616224505320241,0.593254071566565,0.5009765591
